dt,Date,time,instrument,individual,canopy,period,condition,gsw_m,gsw_sd,gbw_m,gtw,E_apparent_m,VPcham_m,VPref_m,VPleaf_m,VPDleaf_m,Fs_m,Fm'_m,Fm'_sd,rh_s_m,rh_r_m,Tleaf_m,flow_m,flow_s_m
2026-07-16T13:00:00Z,2026-07-16,06:00:00,PSA-00618,2,Upper,early,recovery,0.129083,0.10680067185181935,2.3506986666666667,0.119688,0.5153563333333333,3.2786256666666667,3.2605193333333333,3.6580793333333332,0.3794536666666667,170.13859533333334,520.9126586666667,25.92907487195147,86.08666666666666,85.61333333333333,27.37333333333333,106.76666666666667,106.33333333333333
2026-06-22T19:00:00Z,2026-06-22,12:00:00,PSA-00618,2,Upper,midday,predrought,0.11285200000000001,0.06069237059960667,2.9201,0.10789933333333333,1.7406843333333333,3.5907666666666667,3.5490296666666667,4.942734,1.3519676666666667,31.001925333333332,132.80662033333334,10.261521797992751,94.12666666666667,93.02666666666667,32.61,156.5,154.8
2026-06-24T19:00:00Z,2026-06-24,12:00:00,PSA-00618,2,Upper,midday,predrought,0.09868,0.057730560373168045,2.9196033333333333,0.094772,0.8820246666666667,4.440340333333333,4.419370333333333,5.176624333333334,0.7362833333333334,58.080434333333336,148.61902366666666,39.69888046945487,94.04,93.59333333333333,33.43,156.43333333333334,154.53333333333333
2026-06-30T19:00:00Z,2026-06-30,12:00:00,PSA-00618,2,Upper,midday,predrought,-0.008315333333333333,0.05080737173219388,2.8286386666666665,-0.00896,-0.027552000000000004,3.854528333333333,3.855229,4.4041619999999995,0.5496336666666667,40.92240266666666,158.01348366666667,26.262776804915053,95.41,95.42666666666666,30.576666666666664,146.1,144.96666666666667
2026-07-02T19:00:00Z,2026-07-02,12:00:00,PSA-00618,2,Upper,midday,drought,0.012768333333333333,0.016666347300273488,2.9194086666666665,0.012650000000000002,0.14952033333333334,3.5494843333333335,3.5458986666666665,4.5506590000000005,1.0011746666666665,73.89914966666667,288.402827,48.00664468905575,89.96000000000001,89.86666666666666,31.15,156.4,155.3
2026-07-03T19:00:00Z,2026-07-03,12:00:00,PSA-00618,2,Upper,midday,drought,0.009094333333333333,0.003806795546563189,2.7571886666666665,0.009061,0.36185500000000004,3.516221,3.5064336666666667,6.844384666666667,3.3281643333333335,78.56094866666668,285.20242333333334,55.67677460301015,95.72,95.45333333333333,38.51,138.93333333333334,138.16666666666666
2026-07-07T19:00:00Z,2026-07-07,12:00:00,PSA-00618,2,Upper,midday,drought,-0.042552,0.005331270392692532,2.8575013333333334,-0.043201333333333335,-0.3759146666666667,3.884272,3.893703,4.619704333333334,0.7354323333333334,72.17180766666667,323.36164333333335,28.057291155778735,94.21000000000001,94.43333333333334,31.416666666666668,149.26666666666668,148.16666666666666
2026-07-08T19:00:00Z,2026-07-08,12:00:00,PSA-00618,2,Upper,midday,drought,-0.04851266666666666,8.672198875333359e-4,2.706669333333333,-0.049398,-0.5329543333333334,4.268600666666667,4.283416666666667,5.175313333333333,0.9067126666666666,51.868201,223.61063633333333,35.78080175787351,94.74,95.07000000000001,33.42666666666667,134.26666666666665,133.29999999999998
2026-07-09T19:00:00Z,2026-07-09,12:00:00,PSA-00618,2,Upper,midday,drought,-0.11624066666666666,0.009245143445795384,2.9166483333333333,-0.12108866666666666,-1.137207,4.173324333333333,4.2004719999999995,4.960319666666667,0.7869953333333334,68.52018966666667,285.94405133333333,24.02007087417635,94.85,95.47,32.67,156.1,154.23333333333332
2026-07-13T19:00:00Z,2026-07-13,12:00:00,PSA-00618,2,Upper,midday,drought,-0.20199,0.013118502315432193,2.9114606666666667,-0.21710166666666667,-1.18347,3.8224013333333335,3.850962,4.283114666666667,0.4607136666666667,107.818128,363.10090133333335,31.30211672494622,95.45,96.16333333333334,30.09,155.46666666666667,154.1
2026-07-14T19:00:00Z,2026-07-14,12:00:00,PSA-00618,2,Upper,midday,drought,-0.15631433333333333,0.009678690011222258,2.91405,-0.16520100000000001,-0.9666553333333333,4.108080999999999,4.131290333333333,4.6031406666666665,0.49506,68.18759533333333,256.07403566666665,80.18684545854445,95.89,96.43333333333334,31.35,155.76666666666668,154.03333333333333
2026-07-15T19:00:00Z,2026-07-15,12:00:00,PSA-00618,2,Upper,midday,drought,-0.281333,0.0209800577453924,2.9189393333333333,-0.31147733333333333,-1.2384526666666666,3.451944,3.481729,3.7896836666666665,0.33773966666666666,130.31411233333333,462.3682556666667,55.28574287460615,95.21666666666667,96.04,27.973333333333333,156.36666666666667,155.16666666666666
2026-07-16T19:00:00Z,2026-07-16,12:00:00,PSA-00618,2,Upper,midday,recovery,0.027285666666666666,0.18342735760058623,2.919552,0.019798000000000007,-0.031187333333333327,3.9386293333333335,3.939375666666667,4.452514333333333,0.513885,116.22345733333333,458.50187166666666,51.33680916501949,86.6,86.62,30.766666666666666,156.43333333333334,154.36666666666667
2026-06-22T15:00:00Z,2026-06-22,08:00:00,PSA-00618,2,Upper,morning,predrought,0.045130333333333335,0.01677473559652531,2.919291,0.044382,0.2866283333333333,2.6093386666666665,2.6023906666666665,3.1683323333333333,0.558994,101.82583633333333,451.7996626666667,12.921516414550752,85.02666666666667,84.80666666666667,24.94,156.4,155.4
2026-06-24T15:00:00Z,2026-06-24,08:00:00,PSA-00618,2,Upper,morning,predrought,0.030203999999999998,0.015212413056448342,2.9196933333333335,0.029844,0.26696766666666666,3.2958366666666667,3.2893996666666667,4.068583333333334,0.772747,108.83140566666667,506.51722233333334,14.056248425303735,83.56,83.4,29.196666666666665,156.43333333333334,154.7
