"","X","Year","Month","Day","Hour","Minute","Second","tmd5","tmd15","tmd25","tmd35","tmu5","tmu15","tmu25","tmu35","alpha5","beta5","VhrmHRM5","alpha15","beta15","VhrmHRM15","alpha25","beta25","VhrmHRM25","alpha35","beta35","VhrmHRM35","Voltage","EMU","TreeID","Datetime"
"38",38,26,4,12,18,0,14,64.7397397397397,NA,23.3063063063063,23.9039039039039,56.472972972973,NA,NA,NA,0.115708874039148,0.105470641752317,-6.38272745451607,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"R1171_NB",NA,2026-04-12 18:00:00
"39",39,26,4,12,18,30,14,63.7437437437437,NA,NA,34.4614614614615,54.480980980981,NA,NA,NA,0.0729723572655498,0.0599919106279857,-7.02377520612004,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"R1171_NB",NA,2026-04-12 18:30:00
"40",40,26,4,12,19,0,14,61.452952952953,NA,64.6401401401401,89.4404404404404,56.970970970971,NA,NA,NA,0.0362738068608566,0.0462105912807288,-7.57425346219044,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"R1171_NB",NA,2026-04-12 19:00:00
"41",41,26,4,12,19,30,14,65.9349349349349,NA,NA,8.46596596596597,58.464964964965,NA,NA,NA,-0.0355437519870473,-0.0475882776743121,-8.651516844909,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"R1171_NB",NA,2026-04-12 19:30:00
"42",42,26,4,12,20,0,14,63.6441441441441,NA,89.4404404404404,9.95995995995996,49.8993993993994,NA,NA,NA,0.0288479722675491,0.0138628559083961,-7.68564098109005,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"R1171_NB",NA,2026-04-12 20:00:00
"43",43,26,4,12,20,30,14,58.464964964965,NA,33.2027027027027,70.9149149149149,58.464964964965,NA,NA,NA,-0.0522703596443806,-0.0496516761761969,-8.90241595976899,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"R1171_NB",NA,2026-04-12 20:30:00
"44",44,26,4,12,21,0,14,62.448948948949,NA,19.4219219219219,52.488988988989,65.4369369369369,NA,NA,NA,-0.0232534198845525,-0.0292271474701289,-8.46716186337157,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"R1171_NB",NA,2026-04-12 21:00:00
"45",45,26,4,12,21,30,14,69.8193193193193,NA,NA,52.986986986987,59.460960960961,NA,NA,NA,-0.0279691712037913,-0.0268297494130749,-8.53789813316016,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"R1171_NB",NA,2026-04-12 21:30:00
"46",46,26,4,12,22,0,14,65.9349349349349,NA,77.6876876876877,12.9479479479479,57.468968968969,NA,NA,NA,-0.0228713755757001,-0.0441875917586881,-8.46143119873879,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"R1171_NB",NA,2026-04-12 22:00:00
"47",47,26,4,12,22,30,14,75.9944944944945,NA,NA,7.46996996996997,55.974974974975,NA,NA,NA,0.015032682336459,-0.00513145184885065,-7.8928703300564,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"R1171_NB",NA,2026-04-12 22:30:00
"48",48,26,4,12,23,0,14,65.9349349349349,NA,17.4459459459459,6.97197197197197,60.456956956957,NA,NA,NA,0.0424012556390081,0.0197758494120346,-7.48234173051816,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"R1171_NB",NA,2026-04-12 23:00:00
"49",49,26,4,12,23,30,14,62.448948948949,NA,NA,5.97597597597598,56.1741741741742,NA,NA,NA,0.0494072143765526,0.0225698262724272,-7.377252349455,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"R1171_NB",NA,2026-04-12 23:30:00
